owner_repo,repository,language,topics,stars,forks,watchers,contributors,commits,first_commit,last_commit,pull_requests,issues,created_at,pushed_at,license,archived,disabled
salsita/node-pg-migrate,node-pg-migrate,TypeScript,"api, cockroach, cockroachdb, database, db, db-migrate, expandable, extensible, migrate, migration, migrations, migrator, pg, postgre, postgres, postgresql, programable, programatic, sql",1380,183,14,85,1316,2014-03-13 16:09:22-07:00,2025-05-14 22:05:18+02:00,1057,282,2014-03-13T23:09:22Z,2025-07-09T17:36:12Z,MIT License,False,False
nfrechette/acl,acl,C++,"animation-3d, animation-compression, c-plus-plus, compression, cpp, game-development, game-engine",1445,120,43,16,2475,2017-05-17 16:02:25-04:00,2025-03-30 11:09:08-04:00,278,192,2017-05-17T20:02:25Z,2025-07-08T02:58:03Z,MIT License,False,False
willnorris/imageproxy,imageproxy,Go,imageproxy,3745,492,67,47,445,2013-11-27 08:19:15-08:00,2025-05-01 02:54:36-07:00,223,154,2013-12-06T18:23:16Z,2025-07-01T19:15:14Z,Apache License 2.0,False,False
helmwave/helmwave,helmwave,Go,"chart, helm, helmwave, kubernetes",821,41,13,30,2415,2020-11-02 03:10:31+03:00,2025-05-08 14:26:30+03:00,879,202,2020-11-02T00:09:57Z,2025-07-08T23:24:02Z,MIT License,False,False
ethz-asl/aerial_mapper,aerial_mapper,C++,"colmap, dem, dsm, grid-map, mapping, mosaic, orthomosaic, pix4d, uav",586,162,48,4,252,2017-06-19 14:31:30+02:00,2021-02-22 09:49:13+01:00,17,31,2017-06-19T12:31:30Z,2021-03-15T00:10:53Z,"BSD 3-Clause ""New"" or ""Revised"" License",True,False
uploadcare/uploadcare-widget,uploadcare-widget,JavaScript,"dialog, file, file-upload, file-validation, filepicker, files, image, image-upload, images, store, upload, uploadcare, uploader, validation, widget",230,100,24,84,3453,2012-11-02 13:25:25+02:00,2024-10-03 18:48:26+03:00,813,128,2012-09-06T17:07:04Z,2025-07-08T09:43:11Z,"BSD 2-Clause ""Simplified"" License",False,False
running-coder/nanolooker,nanolooker,TypeScript,"altcoin, blockchain-explorer, cryptocurrency, nano, nanocurrency, raiblocks",94,58,7,36,566,2020-01-19 11:51:51-05:00,2024-04-21 13:06:27-04:00,128,25,2020-01-19T16:29:46Z,2024-05-24T06:56:54Z,MIT License,False,False
textileio/textile,textile,Go,,226,44,9,13,292,2019-12-10 17:10:44-03:00,2022-12-16 17:04:59-03:00,265,203,2019-12-09T17:42:59Z,2023-05-05T02:32:42Z,MIT License,False,False
lonnieezell/myth-auth,myth-auth,PHP,"authentication, codeigniter4",645,207,31,64,698,2017-11-21 00:18:06-06:00,2024-03-10 00:25:34+05:00,266,258,2017-11-21T06:18:48Z,2024-04-25T02:46:31Z,MIT License,False,False
CenterForOpenScience/ember-osf-web,ember-osf-web,TypeScript,"ember, javascript, openscience, osf, science",120,59,14,57,6635,2017-09-14 14:25:42-04:00,2025-05-13 15:36:30-04:00,2539,2,2017-09-14T18:25:41Z,2025-07-09T20:18:47Z,Apache License 2.0,False,False
spockframework/spock,spock,Java,"bdd-style-testing-framework, groovy, java, spock-framework, testing",3600,471,132,143,3359,2007-03-09 15:14:51+00:00,2025-04-27 21:11:47+02:00,1080,798,2010-12-12T19:02:34Z,2025-07-04T14:56:12Z,Apache License 2.0,False,False
moshebe/gebug,gebug,Go,,632,17,5,7,462,2020-07-20 16:43:43+03:00,2024-01-27 08:31:03+02:00,771,18,2020-07-20T13:43:42Z,2024-04-24T21:11:58Z,Apache License 2.0,False,False
golevelup/nestjs,nestjs,TypeScript,"event-management, express, graphql, hacktoberfest, hasura, javascript, microservices, nestjs, nodejs, plugins, rabbitmq, typescript, webhooks",2548,286,22,116,628,2019-01-26 13:22:36-05:00,2025-05-08 08:19:43-06:00,501,467,2019-01-26T18:26:08Z,2025-07-09T01:07:34Z,MIT License,False,False
avrae/avrae,avrae,Python,"avrae, ddb, discord-bot, dnd5e, dungeons-and-dragons, hacktoberfest",432,134,8,62,6055,2016-12-26 17:36:43-08:00,2025-05-15 14:08:16-04:00,777,1278,2017-02-02T04:40:12Z,2025-07-09T19:57:03Z,GNU General Public License v3.0,False,False
wellyshen/react-cool-onclickoutside,react-cool-onclickoutside,TypeScript,"elements, hook, onclickoutside, react, typescript",551,13,5,7,1512,2020-01-05 22:55:32+08:00,2023-08-13 00:40:16+08:00,930,11,2020-01-05T14:28:07Z,2023-08-12T16:40:16Z,MIT License,False,False
GAM-team/got-your-back,got-your-back,Python,,2851,222,71,20,789,2014-06-13 18:55:34-04:00,2025-02-04 16:12:14-05:00,35,328,2014-06-13T22:55:34Z,2025-02-04T21:12:14Z,Apache License 2.0,False,False
ani-memes/AMII,AMII,Kotlin,"anime, anime-meme, jetbrains-plugin, memes, reaction-gifs",296,15,6,5,379,2020-10-12 05:18:00-05:00,2024-11-20 17:13:57-06:00,108,71,2020-10-12T10:17:57Z,2025-06-28T16:36:21Z,Apache License 2.0,False,False
Trustroots/trustroots,trustroots,JavaScript,"community, hospex, hospitality, javascript, map, traveling, trustroots",399,135,32,214,5237,2013-05-22 17:01:43+03:00,2025-04-22 15:47:49+00:00,1806,884,2014-10-02T08:38:46Z,2025-04-22T15:47:50Z,GNU Affero General Public License v3.0,False,False
dereuromark/cakephp-tinyauth,cakephp-tinyauth,PHP,"acl, authentication, authorization, cakephp, cakephp-plugin, multi-role, php",130,42,9,45,1498,2010-06-24 15:55:42+02:00,2025-05-08 15:31:59+02:00,82,70,2014-09-18T13:56:34Z,2025-05-25T14:00:22Z,MIT License,False,False
ansible-community/molecule-vagrant,molecule-vagrant,Python,"ansible, hacktoberfest, hashicorp, molecule, molecule-driver, vagrant",144,25,21,20,158,2020-01-14 10:50:07+00:00,2023-01-06 21:21:29+00:00,146,48,2019-10-27T10:22:07Z,2023-01-06T21:41:21Z,MIT License,True,False
studentinsights/studentinsights,studentinsights,JavaScript,"civic-tech, edtech, education, educators, k12, somerville, students, teachers",132,54,11,47,12353,2015-01-13 17:14:08-08:00,2024-08-27 00:26:59-04:00,2385,502,2016-02-08T20:15:35Z,2024-08-27T04:26:59Z,MIT License,False,False
Turbo87/intellij-emberjs,intellij-emberjs,Kotlin,"ember, ember-cli, intellij, intellij-plugin",219,33,9,27,897,2015-11-17 21:30:52+01:00,2025-01-18 12:39:22+00:00,343,135,2015-11-17T20:30:52Z,2025-07-04T16:55:07Z,Apache License 2.0,False,False
redwood/redwood,redwood,Go,"badger, badgerdb, blockchain, braid, braid-protocol, crdt, database, decentralized, end-to-end-encryption, git, offline-first, p2p, peer-to-peer, realtime-database, redwood, state-trees",894,25,20,7,631,2019-09-25 21:13:29-07:00,2022-06-20 06:32:10-05:00,124,52,2019-09-26T04:13:14Z,2023-03-07T00:36:48Z,MIT License,False,False
nextgenusfs/funannotate,funannotate,Python,"comparative-genomics, gene-models, genome-annotation, ncbi-submission",355,89,16,32,1515,2015-12-18 14:24:01-06:00,2025-03-07 00:21:13-08:00,63,756,2015-12-18T20:21:15Z,2025-07-06T21:10:39Z,"BSD 2-Clause ""Simplified"" License",False,False
typicode/json-server,json-server,JavaScript,,74577,7188,1008,91,976,2013-11-30 14:42:14+01:00,2025-03-31 13:11:50+02:00,318,548,2013-11-27T13:21:13Z,2025-03-31T11:11:50Z,Other,False,False
doctrine/DoctrineBundle,DoctrineBundle,PHP,"bundle, doctrine, symfony, symfony-bundle",4782,460,49,339,2405,2010-07-09 10:25:15+02:00,2025-04-02 18:22:50+02:00,996,808,2011-11-17T19:25:50Z,2025-07-07T14:52:58Z,MIT License,False,False
h5py/h5py,h5py,Python,,2146,542,57,254,4708,2008-05-05 20:59:07+00:00,2025-05-09 15:56:42+02:00,983,1289,2012-09-21T00:40:02Z,2025-07-07T21:04:31Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
NiaOrg/NiaPy,NiaPy,Python,"hacktoberfest, microframework, nature-inspired-algorithms, optimization-algorithms, python, swarm-intelligence",267,80,10,39,1536,2018-02-06 13:09:25+01:00,2025-01-06 14:14:30+01:00,525,99,2018-02-06T11:25:36Z,2025-07-07T23:59:47Z,MIT License,False,False
unosquare/embedio,embedio,C#,"dotnet, dotnetcore, embedded, http, http-api, http-request, http-requests, http-response, http-rest-api, http-server, mono, raspberry-pi, raspberry-pi-3, routing-strategies, tiny, url-segment, webserver, websocket, websockets",1515,181,66,46,862,2014-11-25 23:24:49-06:00,2025-03-13 14:41:19-06:00,205,329,2014-03-17T17:17:07Z,2025-03-13T20:41:19Z,Other,False,False
NVIDIA/aistore,aistore,Go,"batch-jobs, distributed-shuffle, erasure-coding, etl-offload, kubernetes, linear-scalability, multiple-backends, network-of-clusters, object-storage, sds, software-defined",1550,212,49,67,8995,2017-12-13 17:07:31-08:00,2025-05-15 16:33:37-07:00,108,104,2017-12-14T01:07:30Z,2025-07-09T20:35:31Z,MIT License,False,False
nanostores/nanostores,nanostores,TypeScript,,6331,119,24,52,968,2020-10-14 16:03:14-04:00,2025-05-04 10:28:50+02:00,164,110,2020-10-14T19:51:28Z,2025-06-02T14:13:37Z,MIT License,False,False
ai/size-limit,size-limit,JavaScript,,6738,1805,38,95,1184,2017-06-25 02:18:28-03:00,2025-03-21 15:19:35+01:00,183,174,2017-06-25T05:18:40Z,2025-03-21T14:19:35Z,MIT License,False,False
99designs/gqlgen,gqlgen,Go,"codegen, dataloader, gogenerate, golang, graphql, schema-first, subscriptions",10403,1213,128,450,3187,2016-10-13 00:08:10+02:00,2025-05-12 07:27:08-04:00,1614,1315,2018-02-11T04:54:11Z,2025-07-07T12:20:33Z,MIT License,False,False
frej/fast-export,fast-export,Python,,821,264,32,75,627,2007-01-14 05:16:29-08:00,2025-03-30 13:47:22+02:00,136,187,2011-11-04T18:55:11Z,2025-06-05T14:54:17Z,,False,False
vmagamedov/grpclib,grpclib,Python,"asyncio, grpc, h2, microservices, protobuf, python",964,93,27,19,452,2017-01-24 14:28:00+02:00,2025-05-04 19:21:46+03:00,33,128,2017-01-24T12:27:42Z,2025-07-08T20:09:39Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
sql-machine-learning/sqlflow,sqlflow,Go,"ai, databases, deep-learning, machine-learning, sql-syntax, sqlflow, transpiler",5163,705,165,48,2222,2018-10-03 23:05:23-07:00,2022-05-13 09:29:48+08:00,2110,779,2018-10-04T06:00:50Z,2024-04-18T08:08:51Z,Apache License 2.0,False,False
CodFrm/cxmooc-tools,cxmooc-tools,TypeScript,"chrome, plugin",2522,659,22,17,648,2018-01-25 18:25:48+08:00,2021-11-03 09:41:03+08:00,41,181,2018-01-25T10:12:46Z,2022-02-07T04:07:27Z,MIT License,True,False
darukjs/daruk,daruk,TypeScript,"node-framework, nodejs, typescript",928,81,32,29,537,2019-03-12 11:56:17+08:00,2024-02-29 15:20:26+08:00,82,45,2019-03-12T02:19:13Z,2024-02-29T07:20:29Z,MIT License,False,False
apache/mina-sshd,mina-sshd,Java,"apache, java, library, ssh",991,371,41,104,3029,2008-12-04 16:24:17+00:00,2025-05-10 21:19:24+02:00,478,208,2010-05-26T23:38:08Z,2025-06-11T11:52:58Z,Apache License 2.0,False,False
0xsequence/wallet-contracts,wallet-contracts,Solidity,,206,54,13,13,378,2020-03-25 14:18:23-04:00,2024-12-20 21:02:45+13:00,158,24,2020-03-25T18:18:23Z,2024-12-20T08:02:47Z,Other,False,False
mikepenz/AboutLibraries,AboutLibraries,Kotlin,"aboutlibraries, android, android-development, android-library, android-ui, cmp, compose, compose-multiplatform, fragments, kmp, kmp-library, kotlin, kotlin-multiplatform, kotlin-multiplatform-library, libraries, mikepenz, multiplatform, wasm",3953,462,128,156,2666,2014-03-19 16:35:02+01:00,2025-05-13 14:29:26+02:00,643,495,2014-04-22T10:01:06Z,2025-07-04T13:05:22Z,Apache License 2.0,False,False
HandBrake/HandBrake-docs,HandBrake-docs,Shell,"documentation, handbrake",223,92,24,41,1034,1970-01-01 00:00:00+00:00,2025-03-20 07:51:26+01:00,74,142,2016-01-03T14:22:28Z,2025-06-07T08:57:51Z,Creative Commons Attribution Share Alike 4.0 International,False,False
dddjava/jig,jig,Java,,295,23,16,21,5408,2018-02-12 19:12:11+09:00,2025-05-15 23:49:20+09:00,648,308,2018-02-12T10:12:11Z,2025-07-09T14:28:02Z,Apache License 2.0,False,False
leibnitz27/cfr,cfr,Java,,2233,289,51,18,1925,2012-04-04 16:45:15+00:00,2024-07-21 09:03:27+01:00,57,151,2014-05-12T16:39:42Z,2024-07-21T08:03:40Z,MIT License,False,False
RediSearch/redisearch-py,redisearch-py,Python,"redis, redis-client, redis-search, redisearch",221,60,8,34,214,2017-01-10 15:54:36+02:00,2023-02-08 10:30:28+02:00,106,47,2017-01-10T13:54:36Z,2023-02-08T08:30:29Z,"BSD 2-Clause ""Simplified"" License",False,False
libgit2/pygit2,pygit2,Python,"git, python",1660,401,66,258,2380,2010-11-04 13:59:18-07:00,2025-05-07 22:01:09+05:00,670,483,2010-11-08T16:27:48Z,2025-06-23T07:38:30Z,Other,False,False
activeadmin/arbre,arbre,Ruby,"activeadmin, arbre, rails, ruby",782,77,29,50,873,2011-06-03 17:38:59-07:00,2025-05-08 20:03:51+02:00,612,58,2011-06-04T00:36:25Z,2025-07-02T07:18:02Z,MIT License,False,False
tokens-studio/figma-plugin,figma-plugin,TypeScript,"design-tokens, figma, styles, tokens",1457,207,26,67,2052,2020-06-20 19:41:35+02:00,2025-05-12 22:56:03+05:30,1387,1570,2020-05-18T16:43:45Z,2025-07-09T16:41:16Z,MIT License,False,False
janaagaard75/expo-and-typescript,expo-and-typescript,TypeScript,"android, expo, ios, mobile, react-native, typescript",256,39,7,10,604,2017-10-02 09:11:40+02:00,2023-02-04 12:27:09+01:00,62,15,2017-10-02T07:14:24Z,2023-07-10T23:27:47Z,MIT No Attribution,False,False
wang-bin/avbuild,avbuild,Shell,"android, apple-sillicon, bitcode, clang, ffmpeg, ios, libav, libffmpeg, linux, maccatalyst, macos, mingw, msvc, raspberry-pi, uwp, vs2019, windows-phone, windows-xp",616,118,38,2,647,2015-06-17 13:48:04+08:00,2025-05-10 21:03:25+08:00,3,73,2015-06-17T05:48:04Z,2025-07-02T02:52:37Z,GNU Lesser General Public License v3.0,False,False
potato4d/nuxt-basic-auth-module,nuxt-basic-auth-module,JavaScript,"authentication, basic-authentication, javascript, nuxt, nuxt-module, vue, vuejs",311,9,4,11,298,2018-10-04 15:40:50+09:00,2023-03-31 17:10:17+00:00,249,21,2018-10-04T05:42:29Z,2025-07-09T17:37:02Z,MIT License,False,False
calagator/calagator,calagator,Ruby,,446,222,32,84,2787,2008-07-19 23:35:48+00:00,2022-12-13 13:40:27-08:00,458,199,2009-01-11T01:08:17Z,2024-03-26T06:38:53Z,Other,False,False
kriasoft/relay-starter-kit,relay-starter-kit,TypeScript,"api, boilerplate, cloud-run, graphql, graphql-yoga, hackathon, jotai, joy-ui, monorepo, nodejs, postgres, postgresql, pothos, prisma, react, starter-kit, template, terraform, typescript, yarn",3953,561,76,25,380,2016-10-15 19:35:29+03:00,2024-11-10 21:45:44+01:00,0,0,2016-09-30T13:14:17Z,2024-11-10T20:45:45Z,MIT License,False,False
nimiq/core-js,core-js,JavaScript,"cryptocurrency, javascript, nimiq",992,208,95,56,2204,2017-03-25 04:27:48+01:00,2025-01-24 16:09:47-06:00,421,217,2017-05-09T19:33:54Z,2025-01-24T22:09:54Z,Other,True,False
good-idea/sane-shopify,sane-shopify,TypeScript,,212,15,11,6,466,2019-04-02 13:01:23-07:00,2023-01-13 11:46:20-07:00,103,48,2019-05-26T21:30:38Z,2023-01-13T18:46:24Z,MIT License,False,False
JoshKarpel/dis-cli,dis-cli,Python,"bytecode, command-line-tool, dissassembler, python",23,0,2,3,117,2020-09-10 08:32:02-05:00,2023-09-05 06:48:03-05:00,97,3,2020-09-10T13:32:00Z,2023-10-03T02:06:28Z,MIT License,True,False
EasyPost/easypost-php,easypost-php,PHP,,169,57,59,31,652,2013-04-05 14:14:47-06:00,2025-04-30 13:10:37-06:00,278,82,2013-04-05T20:14:13Z,2025-06-18T16:30:30Z,MIT License,False,False
jhackshaw/ofnotes,ofnotes,TypeScript,"dexiejs, jest, notes-app, notetaking, reactjs",126,19,6,3,152,2019-11-02 15:51:08-04:00,2021-11-01 15:40:03-07:00,78,2,2019-11-04T19:59:11Z,2024-10-15T18:15:23Z,MIT License,False,False
google/volley,volley,Java,,3406,754,132,85,2070,2012-11-06 16:04:22-08:00,2025-02-25 08:36:30-08:00,161,270,2017-01-24T17:39:33Z,2025-02-25T16:36:30Z,Apache License 2.0,False,False
react-component/util,util,TypeScript,,652,194,10,47,541,2015-02-11 13:15:00+08:00,2025-02-08 15:03:48+08:00,532,32,2015-02-11T05:14:59Z,2025-06-16T09:57:44Z,MIT License,False,False
storybookjs/react-inspector,react-inspector,TypeScript,,799,99,61,51,373,2015-08-06 02:32:51-07:00,2023-06-06 16:13:44+02:00,113,38,2016-03-22T06:38:46Z,2024-12-10T21:53:53Z,MIT License,False,False
alitajs/alita,alita,JavaScript,"alita, alitajs, keepalive, native, react, umi, umijs",812,91,22,46,1901,2019-04-01 15:39:17+08:00,2025-01-08 16:18:48+08:00,503,161,2019-04-01T02:30:47Z,2025-06-03T06:31:46Z,MIT License,False,False
nroduit/Weasis,Weasis,Java,"dicom, dicom-image, dicom-image-viewer, dicom-images, dicom-pr, dicom-rt, dicom-seg, dicom-viewer, dicom-web-viewer, dicomweb, ecg, export-dicom, medical, medical-imaging, multiplanar-reconstruction, viewer, volume-rendering, weasis",973,320,50,36,3291,2010-10-26 05:51:57+00:00,2025-05-09 11:44:01+02:00,53,453,2012-02-19T08:18:11Z,2025-06-29T05:05:02Z,Other,False,False
jazzband/django-admin2,django-admin2,Python,,1184,151,61,54,1099,2013-05-14 14:12:32+02:00,2021-10-22 17:46:32+02:00,240,194,2013-05-14T12:11:48Z,2022-08-02T11:47:22Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
jazzband/django-payments,django-payments,Python,"braintree, django, google-wallet, payments, paypal, python, sagepay, sofort, stripe",1146,283,40,72,907,2010-09-30 16:46:46+02:00,2025-03-16 13:59:51+01:00,247,115,2010-09-30T14:17:47Z,2025-07-07T17:28:33Z,Other,False,False
config4k/config4k,config4k,Kotlin,"config, hocon, kotlin, typesafe-config, wrapper",294,37,6,25,314,2016-11-03 15:40:14+09:00,2025-04-14 14:41:01+03:00,242,74,2016-11-03T06:40:13Z,2025-07-07T16:17:36Z,Apache License 2.0,False,False
boost-ext/ut,ut,C++,"bdd, cpp20, tdd, testing",1348,134,25,63,566,2019-10-13 20:10:21-06:00,2025-04-25 23:17:11+01:00,483,93,2019-10-06T01:33:26Z,2025-07-07T23:22:35Z,Boost Software License 1.0,False,False
sebastianbergmann/code-unit-reverse-lookup,code-unit-reverse-lookup,PHP,,6706,7,4,4,331,2016-02-08 15:24:44-05:00,2025-04-13 09:25:32+02:00,3,1,2016-02-08T20:25:10Z,2025-05-25T06:37:51Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
veusz/veusz,veusz,Python,,954,123,39,41,3633,2004-02-19 21:14:34+00:00,2025-05-04 14:36:17+02:00,81,301,2011-02-03T15:13:28Z,2025-06-19T08:51:22Z,GNU General Public License v2.0,False,False
elgorditosalsero/react-gtm-hook,react-gtm-hook,TypeScript,"google-tag-manager, googletagmanager, gtm, hook, react-hook, react-hooks",225,27,3,22,176,2020-05-26 18:34:42+02:00,2023-05-03 17:29:06+02:00,57,23,2020-05-26T16:22:48Z,2024-07-04T06:26:27Z,MIT License,False,False
ainilili/ratel,ratel,Java,"game, landlord, netty4",2187,312,38,26,298,2018-10-16 20:00:52+08:00,2025-01-22 10:13:23+08:00,54,41,2018-10-16T12:00:52Z,2025-01-22T02:13:24Z,Apache License 2.0,False,False
OriginTrail/ot-node,ot-node,JavaScript,"blockchain, decentralized-knowledge-graph, dkg, drag, graphrag, knowledge-graph, neuro-symbolic-ai, node, origintrail, origintrail-node, protocol, rag, retrieval-augmented-generation, trac",220,81,33,48,4956,2021-12-27 10:34:54+01:00,2025-05-15 12:23:47+02:00,3591,266,2018-02-01T18:29:15Z,2025-07-09T15:06:36Z,Apache License 2.0,False,False
cpprefjp/site,site,,"c-plus-plus, document, japanese, language-learning, library-learning, reference",408,169,77,182,11165,2013-03-13 04:19:25-07:00,2025-05-16 00:36:43+09:00,432,954,2013-03-13T11:19:24Z,2025-07-09T14:17:51Z,Creative Commons Attribution 4.0 International,False,False
rstudio/profvis,profvis,JavaScript,,311,38,47,19,627,2015-09-02 15:17:10-05:00,2024-09-20 12:20:01-05:00,0,0,2015-09-18T18:01:49Z,2024-09-20T17:25:32Z,Other,False,False
ffftp/ffftp,ffftp,C++,"cpp, ftp, windows",556,47,30,12,1300,2011-09-01 13:44:19+09:00,2024-05-27 07:44:54+09:00,246,109,2017-12-29T06:44:37Z,2024-05-26T22:44:55Z,"BSD 2-Clause ""Simplified"" License",False,False
circus-tent/circus,circus,Python,,1566,260,48,182,3053,2012-02-07 17:57:44-08:00,2025-02-10 23:47:52+01:00,558,483,2012-02-08T01:54:21Z,2025-02-10T22:49:04Z,Other,False,False
spatie/async,async,PHP,"async, await, performance, php",2741,183,37,47,322,2017-12-14 07:10:05+01:00,2025-04-22 09:31:17+02:00,87,149,2017-12-14T09:16:35Z,2025-06-05T11:19:35Z,MIT License,False,False
ical4j/ical4j,ical4j,Java,"icalendar, java, library, scheduling",794,209,40,84,3498,2004-10-31 13:37:53+00:00,2025-03-18 10:07:31+11:00,293,292,2013-09-03T03:52:25Z,2025-07-04T01:43:12Z,"BSD 3-Clause ""New"" or ""Revised"" License",False,False
KryptonMC/Krypton,Krypton,Kotlin,"kotlin, krypton, minecraft, minecraft-server",249,13,7,9,857,2020-04-14 11:45:55+01:00,2023-05-01 20:13:13+01:00,50,33,2020-04-14T10:45:34Z,2023-09-27T17:11:57Z,Apache License 2.0,True,False
rjrjr/compose-backstack,compose-backstack,Kotlin,"android, compose, jetpack-compose, kotlin",512,23,12,4,123,2020-03-22 23:15:47-07:00,2022-08-12 11:22:58-07:00,41,12,2020-03-23T05:40:04Z,2023-02-20T21:15:17Z,Other,False,False
netless-io/flat,flat,TypeScript,"agora, agora-flat, cloud-recording, e-class, e-learning, electron, flat, online-classroom, virtual-classroom, whiteboard",5921,835,76,36,2670,2020-08-26 10:21:54+08:00,2025-03-25 17:53:34+08:00,2028,93,2020-08-26T02:21:53Z,2025-07-07T08:13:27Z,MIT License,False,False
immutables/immutables,immutables,Java,"annotation-processor, builder, gson, guava, immutable-collections, immutable-datastructures, immutable-objects, immutables, jackson, java",3500,282,87,107,2671,2013-07-07 06:48:23-07:00,2025-05-02 08:56:40+01:00,340,756,2013-07-07T13:48:23Z,2025-07-09T18:50:51Z,Apache License 2.0,False,False
KaustubhPatange/Moviesy,Moviesy,Kotlin,"android, cast, hilt-android, jetpack-navigation, jetpack-workmanager, kotlin, kotlin-dsl, movies, mvvm-architecture, subtitles-downloader, tmdb-api, torrent, torrent-client, yts-api",249,36,10,2,261,2020-03-20 15:57:50+05:30,2022-12-10 17:17:52+05:30,3,20,2020-03-20T10:26:51Z,2022-12-26T09:43:45Z,Apache License 2.0,False,False
GIScience/openpoiservice,openpoiservice,Python,"giscience, openstreetmap, openstreetmap-data, openstreetmap-protobuffer-format",179,22,16,19,260,2018-01-30 17:21:51+01:00,2024-02-21 09:35:50+01:00,79,35,2018-01-30T16:21:50Z,2025-06-26T14:23:49Z,Apache License 2.0,False,False
skydoves/sandwich,sandwich,Kotlin,"android, api, apiresponse, datasource, kotlin, network, retrofit, skydoves",1673,108,15,14,1035,2020-05-05 13:45:17+09:00,2025-05-15 19:53:03+00:00,407,50,2020-05-05T04:45:16Z,2025-07-08T02:01:29Z,Apache License 2.0,False,False
lc-soft/LCUI,LCUI,C,"c, cross-platform-gui, gui-framework, gui-toolkit, windows",4249,370,152,26,3612,2012-08-04 15:13:18+08:00,2025-04-30 18:54:20+08:00,81,216,2012-08-04T07:09:40Z,2025-04-30T10:54:31Z,MIT License,False,False
mozilla/DeepSpeech,DeepSpeech,C++,"deep-learning, deepspeech, embedded, machine-learning, neural-networks, offline, on-device, speech-recognition, speech-to-text, tensorflow",26521,4067,674,175,3466,2016-02-22 12:08:37+01:00,2021-11-17 18:52:52+01:00,1654,1986,2016-06-02T15:04:53Z,2025-06-19T12:52:51Z,Mozilla Public License 2.0,True,False
KnpLabs/KnpMenuBundle,KnpMenuBundle,PHP,"bundle, menu-generator, php, symfony, symfony-bundle",1409,204,54,102,660,2010-08-10 14:45:24+02:00,2025-05-13 13:33:58+02:00,230,247,2010-08-10T12:46:57Z,2025-06-16T07:04:46Z,MIT License,False,False
videojs/videojs-contrib-dash,videojs-contrib-dash,JavaScript,"mpeg-dash-playback, video, videojs",297,129,43,30,210,2015-07-07 13:24:46-07:00,2023-05-24 21:02:28+01:00,194,134,2015-07-07T20:24:45Z,2023-05-24T20:02:29Z,Apache License 2.0,False,False
mikepenz/MaterialDrawer,MaterialDrawer,Kotlin,"android, android-development, android-library, android-ui, drawer, drawer-support, drawerlayout, hacktoberfest, java, material-components, material-design, material-theme, material-ui, materialdrawer, mikepenz, navigation-drawer",11662,2043,329,119,2554,2014-03-15 14:54:43+01:00,2025-02-02 11:10:32+01:00,281,2531,2015-01-31T17:37:10Z,2025-02-02T10:10:46Z,Apache License 2.0,False,False
