repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,extended_action,why_refine,
feast,.github/workflows/publish_java_sdk.yml,release,<step_3>,2025-01-23 19:18,cache_version_update,adding_cache,0,22b9138a3c0040f5779f7218522f2d96e750fbbf,22b9138a3c0040f5779f7218522f2d96e750fbbf,fixing_cache,add,fixing_caching_issues,
DeepSpeech,.github/workflows/build-and-test.yml,build,<step_11>,2021-04-28 8:51,adding_cache,adding_cache,0,280f2724311575eef21e94a3470d76d5b977058d,280f2724311575eef21e94a3470d76d5b977058d,extending_cache,add,extending_cache,
transformers,.github/workflows/self-scheduled.yml,build,Loading cache.,2020-08-10 14:39,enable_cache,adding_cache,50.80142361,79588e6fdb5af8add092fc27dd695ea1ebc68b18,056723ad1d1666a76cb80b4883894e83636aa5cf,extending_cache,add,extending_cache,
digitransit-ui,.github/workflows/dev-pipeline.yml,test,cache built Relay queries,2023-08-21 11:40,adding_cache,adding_cache,0,a3d88a31a766148013b7871b1bd581c5993ade15,a3d88a31a766148013b7871b1bd581c5993ade15,extending_cache,add,improve_cache,
got-your-back,.github/workflows/build.yml,build,Cache,2022-01-21 20:35,removing_cache,adding_cache,0,8e4ac32c6410268171a83739ef6a0af2b380645d,8e4ac32c6410268171a83739ef6a0af2b380645d,replacing_cache,add,others,
fujinet-platformio,.github/workflows/autobuild.yml,release,Cache pip,2023-07-08 19:16,enable_cache,adding_cache,309.9931597,b4564666047b71fa25a2401597c270f26f882e00,8c055569018b23c402009fcc813e50c089b6f57e,replacing_cache,add,others,
LCUI,.github/workflows/ccpp.yml,build,Cache windows build tools,2023-04-01 14:32,removing_cache,adding_cache,28.76614583,a6058aab350582f9e330d5e7ab65135462a557a0,9ad372595a23734ccac0c9c633f41f95f1ce4cef,replacing_cache,add,others,
rails_event_store,.github/workflows/coverage.yml,other,<step_1>,2020-12-08 10:46,enable_cache,adding_cache,0.306319444,f33514b5936cef40a7522ffb5db1cee1f2c15e7a,18f77b1a54a71560fcebe355d3c9ddf50ccabe16,extending_cache,add,extending_cache,
aepp-sdk-js,.github/workflows/main.yml,other,<step_2>,2022-03-22 10:53,adding_parameter,adding_cache,0,996dc2980cf939f33a345d42998a24c5a70e7f01,996dc2980cf939f33a345d42998a24c5a70e7f01,extending_cache,add,migration,
rails_event_store,.github/workflows/coverage.yml,other,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
testing-playground,.github/workflows/ci.yml,test,Cache node modules,2020-05-24 10:13,enable_cache,adding_cache,197.2340741,4d1cdde1dab03b9d7be27bc3272b5d482fa32780,fb43e61ae98f4ca07f6a18a41be70c4939dc17ea,extending_cache,add,extending_cache,
jbang,.github/workflows/ci-build.yml,build,<step_1>,2021-06-10 21:01,cache_version_update,adding_cache,0,f189f36195b6765e58583ad7d2217c817d18bdb0,f189f36195b6765e58583ad7d2217c817d18bdb0,extending_cache,add,others,
drupalorg-cli,.github/workflows/php.yml,test,<step_2>,2021-12-18 4:44,removing_cache,adding_cache,0,0398087d4d5dcba8b83af68197588e5f817cd248,0398087d4d5dcba8b83af68197588e5f817cd248,extending_cache,add,improve_cache,
redwood,.github/workflows/release.yaml,build,Cache Go vendor packages,2022-01-11 20:48,adding_cache,adding_cache,0,9c77a1bade3c3f2452953a1af5be1ebe068f7dd3,9c77a1bade3c3f2452953a1af5be1ebe068f7dd3,extending_cache,add,fixing_caching_issues,
rails_event_store,.github/workflows/coverage.yml,other,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
imgpkg,.github/workflows/gh-test-external-registry.yml,test,Set up Go 1.x,2021-07-20 23:21,enable_cache,adding_cache,34.88847222,31343ccf1d60e576538f391aa3b31ca6c74032bc,7eebf0e3ae6d102d8ef42d891f4af18ccc7c87cd,extending_cache,add,extending_cache,
drupalorg-cli,.github/workflows/php.yml,analyze,<step_2>,2021-12-18 4:44,removing_cache,adding_cache,0,0398087d4d5dcba8b83af68197588e5f817cd248,0398087d4d5dcba8b83af68197588e5f817cd248,extending_cache,add,improve_cache,
incubator-tuweni,.github/workflows/master-pr-build.yml,test,Cache Gradle packages,2020-05-09 6:02,adding_cache,adding_cache,0,500c2b56ab5a757de5591bfc79ca3d4fe61797e6,500c2b56ab5a757de5591bfc79ca3d4fe61797e6,extending_cache,add,extending_cache,use example
fluency,.github/workflows/ci.yml,test,<step_2>,2022-09-24 8:13,enable_cache,adding_cache,6.12318287,171851dbd9fe520fa520273f36f4c86ae756c88c,7dbfa4fadd2939a6002a561a74f4a47e073a2ca3,extending_cache,add,extending_cache,
digitransit-ui,.github/workflows/dev-pipeline.yml,lint,Cache node modules,2022-06-02 8:28,removing_cache,adding_cache,445.1338542,d769c5b6532b1430d32faf72c86d650193deb7fd,a3d88a31a766148013b7871b1bd581c5993ade15,fixing_cache,add,improve_cache,
incubator-tuweni,.github/workflows/master-pr-build.yml,build,Cache Maven Repository,2020-04-26 6:30,enable_cache,adding_cache,5.051921296,f8c27eb3de4d5deb4184feb3311b912b393c29a6,8bb12d442f6ac43e1ea616e0cc2e5d1fcb1e73ee,extending_cache,add,extending_cache,use example
aepp-sdk-js,.github/workflows/main.yml,other,<step_3>,2023-04-08 4:45,adding_parameter,adding_cache,0,79a2c5a2b49d11d4d3dfb11d51b0d01e1296aa71,79a2c5a2b49d11d4d3dfb11d51b0d01e1296aa71,extending_cache,add,others,
linkchecker,.github/workflows/build.yml,build,Pip cache,2022-10-31 19:22,cache_version_update,adding_cache,61.61998843,740fce4df5d01f00798260460b65b16b813eafaf,d179b916b5183e91c05dd3b67dd01cf17f19e7fe,extending_cache,add,fixing_caching_issues,use example
feast,.github/workflows/java_master_only.yml,test,<step_10>,2023-03-04 6:32,removing_cache,adding_cache,0,be349054d3d70ff2a31b850ea2830d4928411b97,be349054d3d70ff2a31b850ea2830d4928411b97,replacing_cache,add,others,
digitransit-ui,.github/workflows/next-dev-pipeline.yml,test,Cache node modules,2020-12-03 13:32,enable_cache,adding_cache,188.6912384,4b771280549de53335adc8c9868b0f977da6fa05,14941cc148950d500d4de3cb99077951fd0d4128,extending_cache,add,extending_cache,
rails_event_store,.github/workflows/aggregate_root.yml,sync,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
magento-lts,.github/workflows/update-phpstorm-meta.yml,sync,Cache dependencies,2025-01-14 15:32,enable_cache,adding_cache,58.47309028,4e2711135c6bba674a7ae14c8a063f2290580c16,860772e351d0df09400e6597ab0e06d8834efa4d,replacing_cache,add,others,
patchwork-api,.github/workflows/build.yml,test,<step_2>,2019-12-28 21:02,enable_cache,adding_cache,247.0330208,72e643474ed75ea06b5f1539d6b281d8b5780e07,bb69d4e5ea623eee3f377e0a3e3f5f7fe4deda01,fixing_cache,add,improve_cache,use example
digitransit-ui,.github/workflows/dev-pipeline.yml,test,Cache node_modules,2025-03-21 8:15,adding_cache,adding_cache,0,458ba2cc4c4979d18bb9ef94c38f4b8ae7932c8b,458ba2cc4c4979d18bb9ef94c38f4b8ae7932c8b,extending_cache,add,extending_cache,
digitransit-ui,.github/workflows/dev-pipeline.yml,test,cache shared components,2025-03-20 10:16,removing_cache,adding_cache,0.9159375,1f2c12a58ddc9a55617f574edd2e94bcae7a5584,458ba2cc4c4979d18bb9ef94c38f4b8ae7932c8b,extending_cache,add,extending_cache,
DeepSpeech,.github/workflows/macOS-amd64.yml,build,<step_7>,2021-03-25 13:19,enable_cache,adding_cache,1.864328704,d425838877f0f25b02e9ae722cb4bfdda9a01d76,d8fa9e7b60709c80ccd66950c09911dae4bd83a3,extending_cache,add,extending_cache,
howsmyssl,.github/workflows/update_dev_certs.yml,other,Set up Go,2019-09-28 1:16,enable_cache,adding_cache,502.9414468,01ee8945a72ee9ab2b565f4009cca5b38641088b,d02f59ac465c6fe48c10b8051a58870d96fb5435,replacing_cache,add,improve_cache,
Krypton,.github/workflows/test_build.yml,build,cache gradle,2021-07-16 16:06,enable_cache,adding_cache,504.868125,c14a6f439f233e1c81b87c34fbe20dca1fd4fa13,66944a479e83ffc7d3076d81a7db00a665798314,replacing_cache,add,others,
feast,.github/workflows/master_only.yml,test,pip cache,2024-04-23 23:03,removing_cache,adding_cache,0,6ef78522f26fd55898b9acf605f0662eea7bbfe8,6ef78522f26fd55898b9acf605f0662eea7bbfe8,replacing_cache,add,improve_cache,
rails_event_store,.github/workflows/bounded_context.yml,sync,<step_1>,2020-12-14 22:53,removing_parameter,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
avbuild,.github/workflows/build.yml,other,Restore sysroot cache,2020-09-20 4:20,adding_cache,adding_cache,84.38908565,72a5d51878b2b56652dd725dcda7ff584056ae49,c6b29067f43b1f3ac888c6a7e55bdd1d7e1b45be,extending_cache,add,extending_cache,
transformers,.github/workflows/update_metdata.yml,build,Loading cache.,2022-04-13 15:19,updating_parameter,adding_cache,4.728055556,0b8f697219a71d1fe2a8a359b2786a4d58f36e48,02de7a8e7f9668b169d92dc9a7c16434af08c98c,replacing_cache,add,improve_cache,
Play-,.github/workflows/build-macos.yaml,build,Cache Qt,2020-12-10 22:51,enable_cache,adding_cache,138.5887963,91c82ac00bae643c69752c7ec96299e58a06736d,4bc0646461de32c20cf7dbf6989809f7209cab40,extending_cache,add,extending_cache,
figma-plugin,.github/workflows/node.js.yml,test,Cache node modules,2023-03-19 9:15,removing_cache,adding_cache,3.504768519,5bb4a1d6ba4738a1e0a6e96f8176ebc7144dc943,270bb1f2508aa77cfcadaadbaf7670e19138d321,extending_cache,add,fix_security_issue,
feast,.github/workflows/pr_local_integration_tests.yml,test,pip cache,2024-04-23 23:03,removing_cache,adding_cache,0,6ef78522f26fd55898b9acf605f0662eea7bbfe8,6ef78522f26fd55898b9acf605f0662eea7bbfe8,extending_cache,add,improve_cache,
digitransit-ui,.github/workflows/dev-pipeline.yml,test,Cache node modules,2022-06-02 8:28,removing_cache,adding_cache,445.1338542,d769c5b6532b1430d32faf72c86d650193deb7fd,a3d88a31a766148013b7871b1bd581c5993ade15,fixing_cache,add,improve_cache,
feast,.github/workflows/complete.yml,test,<step_1>,2020-12-14 8:05,removing_cache,adding_cache,0,6d158760fb4dd751a78d7e2c5ced5d7fbd56cb94,6d158760fb4dd751a78d7e2c5ced5d7fbd56cb94,extending_cache,add,migration,
DeepSpeech,.github/workflows/build-and-test.yml,build,<step_7>,2021-04-27 9:55,adding_cache,adding_cache,0,510d161db59c1f8ece297fcaeaa214adcec4717d,510d161db59c1f8ece297fcaeaa214adcec4717d,extending_cache,add,extending_cache,
rails_event_store,.github/workflows/ruby_event_store-browser.yml,test,<step_2>,2020-12-14 22:53,updating_parameter,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
forge,.github/workflows/ci.yml,other,Cache node_modules,2019-12-13 0:14,removing_cache,adding_cache,538.674919,40f6b990392b55b64c7bee351d382102e3b29300,bcb8894cf23fc774719997fb8f77b2daba9dfa03,extending_cache,add,improve_cache,
feast,.github/workflows/complete.yml,test,<step_3>,2020-07-27 11:06,enable_cache,adding_cache,4.722928241,95c99e25a1d66fd0b5fa7e4de061353c1821cee8,a5571eeadc669f18459e3c8b9f72be283276c838,fixing_cache,add,fixing_caching_issues,
transformers,.github/workflows/github-torch-hub.yml,integration,Loading cache,2020-08-10 14:39,enable_cache,adding_cache,615.7556366,79588e6fdb5af8add092fc27dd695ea1ebc68b18,02de7a8e7f9668b169d92dc9a7c16434af08c98c,replacing_cache,add,improve_cache,
redwood,.github/workflows/release.yaml,build,Cache desktop-chat-app/frontend dependencies,2022-01-11 20:48,adding_cache,adding_cache,0,9c77a1bade3c3f2452953a1af5be1ebe068f7dd3,9c77a1bade3c3f2452953a1af5be1ebe068f7dd3,extending_cache,add,improve_cache,
tr.reactjs.org,.github/workflows/analyze.yml,analyze,Restore next build,2024-10-21 9:21,cache_version_update,adding_cache,14.20645833,e3bb16648cc558614152b2e432cb5262d20bc285,4723d4fe225332cfc414e1ae8bc2f565c34bc557,extending_cache,add,improve_cache,use examplehttps://github.com/reactjs/tr.react.dev/commit/8201e7e9203321bd1648c3ab0b76ef943c9ec3ad
datauri,.github/workflows/main.yml,build,<step_2>,2021-08-08 15:05,cache_version_update,adding_cache,0,3a57d52dff5b2e018dbad419bfb891a66e6f3614,3a57d52dff5b2e018dbad419bfb891a66e6f3614,extending_cache,add,others,
forge,.github/workflows/ci.yml,test,Cache Yarn,2020-07-04 3:52,cache_version_update,adding_cache,27.88421296,9c91acf55fa799d1ee2989eeec37f54fb8b775f5,4afa3dca0fdde5fe04bef14fe96bf80bd3a087dc,extending_cache,add,extending_cache,
core-js,.github/workflows/build+test.yml,test,<step_2>,2021-02-17 23:29,adding_cache,adding_cache,0,a746c1f9c22cc1ec1a7fd25ae95a1ac6e753524a,a746c1f9c22cc1ec1a7fd25ae95a1ac6e753524a,extending_cache,add,extending_cache,
DeepSpeech,.github/workflows/macOS-amd64.yml,test,<step_5>,2021-04-15 16:32,adding_parameter,adding_cache,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,extending_cache,add,extending_cache,
buildkit,.github/workflows/test-os.yml,test,Cache Vagrant boxes,2023-08-03 7:43,cache_version_update,adding_cache,22.43688657,f04794ea52312ebdb4ec5f2313c4f0f13c4266f4,6cb9f4223c00bde61cf58880ad48e354dbf2a5cb,extending_cache,add,extending_cache,
SwiftPrettyPrint,.github/workflows/release.yml,release,Cache bundler,2020-02-23 5:58,enable_cache,adding_cache,8.798993056,a80d588a81a0cd1047ec24dd1caa5f53c6462900,db81c6f8774bfdcaf0849b9199b7d11f2f074b14,extending_cache,add,extending_cache,
buildkit,.github/workflows/test-os.yml,test,Set up Go,2023-02-16 14:35,enable_cache,adding_cache,166.7753241,90edc059b9c93e6428b7665523fcbcd5f27ee463,408e43248f0f37b2fd6b3600b058376d4545e36e,extending_cache,add,extending_cache,
rails_event_store,.github/workflows/rails_event_store_active_record.yml,integration,<step_1>,2020-12-14 22:53,removing_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
figma-plugin,.github/workflows/node.js.yml,analyze,Cache node modules,2023-03-19 9:15,removing_cache,adding_cache,3.504768519,5bb4a1d6ba4738a1e0a6e96f8176ebc7144dc943,270bb1f2508aa77cfcadaadbaf7670e19138d321,fixing_security,add,fix_security_issue,
feast,.github/workflows/java_master_only.yml,test,<step_3>,2024-12-19 13:20,cache_version_update,adding_cache,104.9793287,1119439c49bc90e62f02da078901509c1d740236,cc1fcad500ca610812be3faa814f97d77f5b76d2,replacing_cache,add,others,
yomo,.github/workflows/release.yaml,build,Set up Go ${{ env.GOVER }},2023-04-15 5:02,removing_cache,adding_cache,0,63e9cead0fef691eb1a4c0eb4ad5f0e1972e899e,63e9cead0fef691eb1a4c0eb4ad5f0e1972e899e,fixing_cache,add,improve_cache,use example
DeepSpeech,.github/workflows/build-and-test.yml,test,<step_5>,2021-04-28 8:51,adding_cache,adding_cache,0,280f2724311575eef21e94a3470d76d5b977058d,280f2724311575eef21e94a3470d76d5b977058d,extending_cache,add,extending_cache,
rails_event_store,.github/workflows/rails_event_store-rspec.yml,test,<step_1>,2020-12-14 22:53,removing_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
LCUI,.github/workflows/ccpp.yml,build,Cache xmake packages,2023-04-30 8:55,adding_cache,adding_cache,0,9ad372595a23734ccac0c9c633f41f95f1ce4cef,9ad372595a23734ccac0c9c633f41f95f1ce4cef,replacing_cache,add,others,
Moviesy,.github/workflows/build.yml,build,<step_6>,2021-08-16 12:38,removing_cache,adding_cache,0,cd14823dae18b4fed102cc5847c651e260ba9447,cd14823dae18b4fed102cc5847c651e260ba9447,extending_cache,add,others,
ember-osf-web,.github/workflows/CI.yml,test,<step_3>,2021-06-02 15:50,updating_parameter,adding_cache,71.15114583,59a18aed38fa151232735688bfe545062f756d4a,775033847748d995f53f8009ef32d27b61825ab1,replacing_cache,add,extending_cache,
Classic-RBDOOM-3-BFG,.github/workflows/cmake.yml,build,Cache linux vcpkg,2022-11-06 21:11,updating_parameter,adding_cache,36.99068287,73c83c389be4de7c414e09f7df1ba0337e6464ac,0c5b3b742658e120acb6c0d98ddebc12612a339b,extending_cache,add,extending_cache,
wallet-contracts,.github/workflows/yarn-workflow.yml,test,<step_3>,2020-04-24 18:56,enable_cache,adding_cache,16.92030093,1ecbee0bab50aad75e50799a3475dff63ddaf04c,d9ee10132817092611c19905b73700b2bdd7f789,replacing_cache,add,extending_cache,
rails_event_store,.github/workflows/coverage.yml,other,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
rails_event_store,.github/workflows/rails_event_store_active_record.yml,sync,<step_1>,2020-12-14 22:53,removing_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
care,.github/workflows/deployment.yaml,build,Cache Docker layers,2023-09-12 6:18,removing_cache,adding_cache,34.46527778,b5e482c746aa21ca1a4a5a4df076c21c2d4f8f9b,cb33897f26227f10523211f040a888888d9ed1c1,replacing_cache,add,extending_cache,
rails_event_store,.github/workflows/rails_event_store_active_record.yml,integration,<step_2>,2020-12-14 22:53,adding_cache,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
lefthook,.github/workflows/release.yml,release,Set up Go,2024-10-17 8:47,removing_cache,adding_cache,0,bf9d4e62cfc6e526eae4bfdc5c66b6fcbae6f4f7,bf9d4e62cfc6e526eae4bfdc5c66b6fcbae6f4f7,extending_cache,add,extending_cache,
django-cookie-law,.github/workflows/tests.yaml,test,Setup Pip Cache,2022-01-06 15:14,updating_parameter,adding_cache,0,203c10f92126fdf062bc6b9a3dbb06d3e8530ca6,203c10f92126fdf062bc6b9a3dbb06d3e8530ca6,fixing_cache,add,improve_cache,
rails_event_store,.github/workflows/ruby_event_store.yml,sync,<step_1>,2020-12-14 22:53,removing_parameter,adding_cache,0,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,d5c7b9b9c1fdd11ffbf66b3b32837e7a9aa9ac09,extending_cache,add,others,
feast,.github/workflows/java_master_only.yml,test,<step_8>,2023-03-04 6:32,adding_cache,adding_cache,424.4581481,be349054d3d70ff2a31b850ea2830d4928411b97,c86d594613b0fb1425451def4fc1d7a7496eea92,replacing_cache,add,improve_cache,
ever-gauzy,.github/workflows/test_currents.yml,test,<step_1>,2021-09-07 20:43,removing_cache,adding_cache,0,49d7db085d37a0e1e04586c6ee05e1fd4ad9ca5d,49d7db085d37a0e1e04586c6ee05e1fd4ad9ca5d,fixing_cache,add,extending_cache,
figma-plugin,.github/workflows/node.js.yml,build,Cache node modules,2023-03-19 9:15,removing_cache,adding_cache,3.504768519,5bb4a1d6ba4738a1e0a6e96f8176ebc7144dc943,270bb1f2508aa77cfcadaadbaf7670e19138d321,fixing_security,add,fix_security_issue,